,open,high,low,close,volume
2015-05-15,161.61,168.0,161.61,166.99,206852.0
2015-05-18,168.0,172.88,167.4,172.33,190836.0
2015-05-19,171.83,178.95,170.87,177.35,260863.0
2015-05-20,177.95,180.5,172.56,175.03,215731.0
2015-05-21,174.8,176.76,170.83,172.42,201416.0
2015-05-22,172.74,174.34,168.09,168.91,153695.0
2015-05-25,169.82,174.39,169.0,171.56,257481.0
2015-05-26,172.56,177.13,169.37,171.01,398321.0
2015-05-27,168.22,171.19,140.51,168.77,1080879.0
2015-05-28,169.18,172.47,164.34,166.12,203179.0
2015-05-29,165.44,169.73,164.34,164.44,870720.0
2015-06-01,164.8,171.47,162.84,164.21,808937.0
2015-06-02,164.53,165.39,160.69,162.97,184684.0
2015-06-03,162.84,164.89,160.69,163.29,707061.0
2015-06-04,164.44,166.58,159.78,161.79,142059.0
2015-06-05,161.61,169.18,158.87,165.76,210331.0
2015-06-08,165.81,167.45,161.15,165.3,146934.0
2015-06-09,163.89,166.35,162.97,163.61,111221.0
2015-06-10,163.61,169.82,163.61,167.31,1035916.0
2015-06-11,168.54,169.82,165.71,167.08,136084.0
2015-06-12,166.22,168.36,164.8,167.72,226943.0
2015-06-15,166.9,168.68,166.35,167.22,69162.0
2015-06-16,166.81,167.54,164.44,165.35,98700.0
2015-06-17,166.76,172.15,165.3,169.18,152327.0
2015-06-18,169.09,175.21,169.09,172.38,232448.0
2015-06-19,173.2,179.41,171.92,177.13,350165.0
2015-06-22,178.77,180.5,175.16,177.08,165233.0
2015-06-23,177.13,177.31,172.79,173.7,120544.0
2015-06-24,172.7,174.21,166.76,167.81,125274.0
2015-06-25,165.17,168.77,164.98,165.71,89654.0
2015-06-26,165.26,168.91,165.26,166.76,72942.0
2015-06-29,165.17,165.71,157.86,164.44,651630.0
2015-06-30,164.8,168.82,162.56,165.26,123422.0
2015-07-01,165.35,168.36,165.35,167.22,89518.0
2015-07-02,168.64,169.78,164.44,165.3,89928.0
2015-07-03,167.04,167.08,162.52,165.71,127109.0
2015-07-06,164.34,167.49,162.52,166.58,114078.0
2015-07-07,167.72,180.73,166.63,174.39,483938.0
2015-07-08,172.33,178.04,170.01,172.61,239810.0
2015-07-09,178.27,178.27,169.34,169.8,155086.0
2015-07-10,172.31,174.39,169.8,171.56,83260.0
2015-07-13,171.66,179.96,169.89,176.16,317991.0
2015-07-14,177.59,183.25,175.37,181.63,1131503.0
2015-07-15,182.6,183.44,178.57,179.4,703674.0
2015-07-16,180.1,182.23,177.22,177.87,136923.0
2015-07-17,179.45,180.93,177.97,178.61,168354.0
2015-07-20,181.03,184.14,179.54,180.29,891397.0
2015-07-21,188.17,204.08,188.17,191.65,3477511.0
2015-07-22,191.65,200.88,189.75,199.54,1022738.0
2015-07-23,201.16,229.74,200.14,221.58,3120348.0
2015-07-24,221.76,228.21,216.19,218.24,907740.0
2015-07-27,218.79,222.5,214.8,218.65,320459.0
2015-07-28,218.98,220.83,214.34,214.85,167727.0
2015-07-29,217.17,231.87,215.4,225.1,804354.0
2015-07-30,227.28,231.97,222.69,227.24,389520.0
2015-07-31,227.98,233.92,223.29,225.52,457521.0
2015-08-03,227.33,227.7,216.66,218.19,215012.0
2015-08-04,219.86,225.29,216.38,221.67,219326.0
2015-08-05,223.43,227.33,220.79,223.94,227732.0
2015-08-06,225.47,225.94,216.15,219.07,161170.0
2015-08-07,218.1,224.17,215.36,219.39,157259.0
2015-08-10,220.93,224.36,218.05,220.0,118119.0
2015-08-11,221.48,221.67,211.09,213.41,137389.0
2015-08-12,212.76,213.36,204.6,207.98,286144.0
2015-08-13,214.57,216.19,208.96,210.81,145866.0
2015-08-14,211.74,218.05,210.81,216.84,126234.0
2015-08-17,213.46,217.49,208.77,215.13,192728.0
2015-08-18,230.11,235.68,221.85,222.69,1011314.0
2015-08-19,224.45,227.33,219.44,221.07,483541.0
2015-08-20,221.58,222.04,216.19,216.98,161950.0
2015-08-21,213.41,220.88,210.16,213.73,483109.0
2015-08-24,210.3,210.3,196.71,201.67,410307.0
2015-08-25,202.28,208.77,181.21,197.82,443965.0
2015-08-26,198.29,199.49,189.29,195.92,208765.0
2015-08-27,199.49,207.94,199.07,206.36,159100.0
2015-08-28,208.77,211.79,202.46,204.46,96607.0
2015-08-31,203.57,207.8,199.86,205.71,70137.0
2015-09-01,202.74,210.21,200.28,201.86,141116.0
2015-09-02,202.37,206.27,199.49,201.39,125727.0
2015-09-03,206.68,206.68,202.28,202.74,46252.0
2015-09-04,204.13,204.13,194.85,196.57,99183.0
2015-09-07,193.04,198.1,193.04,194.62,85151.0
2015-09-08,194.9,198.56,193.55,195.13,235498.0
2015-09-09,196.89,201.81,196.89,199.86,77809.0
2015-09-10,198.94,202.09,196.71,201.16,146167.0
2015-09-11,204.04,204.04,197.5,198.61,63536.0
2015-09-14,201.21,201.21,193.0,198.66,110114.0
2015-09-15,201.3,201.3,195.78,197.17,234518.0
2015-09-16,198.66,199.12,192.9,194.81,143204.0
2015-09-18,198.56,199.35,193.92,194.85,118298.0
2015-09-21,197.45,198.56,193.92,196.15,280994.0
2015-09-22,198.42,198.42,192.95,194.95,106777.0
2015-09-23,193.46,208.49,193.46,201.35,128747.0
2015-09-24,202.28,212.95,201.35,208.4,228856.0
2015-09-28,209.61,218.88,209.61,216.98,338910.0
2015-09-29,213.5,221.3,210.16,219.53,177992.0
2015-09-30,220.83,222.69,213.46,218.24,192107.0
2015-10-01,220.28,224.45,216.19,222.87,202040.0
2015-10-05,226.21,226.82,220.04,222.13,144042.0
2015-10-06,223.43,223.43,214.43,218.28,128652.0
2015-10-07,218.28,222.69,217.12,221.02,179345.0
2015-10-08,222.64,224.08,220.37,222.64,194121.0
2015-10-09,224.31,227.88,221.3,224.45,214626.0
2015-10-12,226.21,229.09,223.15,225.38,150568.0
2015-10-13,227.14,230.58,224.54,226.03,124732.0
2015-10-14,228.63,228.63,219.3,223.48,263980.0
2015-10-15,225.84,226.12,205.11,208.21,1808579.0
2015-10-16,207.84,210.02,202.37,202.79,591144.0
2015-10-19,206.92,215.27,202.51,208.35,338551.0
2015-10-20,211.18,216.98,208.82,215.31,304879.0
2015-10-21,216.89,218.14,210.16,213.13,647297.0
2015-10-23,216.56,216.56,206.92,208.86,128869.0
2015-10-26,210.35,212.9,209.23,210.3,192552.0
2015-10-27,207.94,213.87,206.92,211.69,121749.0
2015-10-28,212.95,217.12,206.92,209.1,179379.0
2015-10-29,209.14,210.07,202.28,203.85,104262.0
2015-10-30,205.01,205.8,199.86,201.07,113915.0
2015-11-02,198.56,203.2,196.85,197.82,89369.0
2015-11-03,199.31,202.28,197.91,199.07,98859.0
2015-11-04,203.48,203.48,194.85,196.24,82267.0
2015-11-05,197.64,197.64,189.29,190.86,286870.0
2015-11-06,192.53,194.85,189.29,193.97,129358.0
2015-11-09,190.31,200.42,187.48,196.29,103805.0
2015-11-10,200.42,200.42,195.73,197.64,70943.0
2015-11-11,200.42,200.42,195.73,197.64,70943.0
2015-11-13,196.38,196.38,190.12,192.12,188410.0
2015-11-16,190.4,197.64,187.43,193.92,95896.0
2015-11-17,193.04,199.49,190.4,196.94,179381.0
2015-11-18,198.42,198.56,192.72,194.85,110537.0
2015-11-19,196.52,199.58,192.07,198.98,112132.0
2015-11-20,199.4,205.99,195.32,200.65,172044.0
2015-11-23,202.28,205.06,201.26,203.62,156962.0
2015-11-24,205.99,207.38,200.79,205.85,122188.0
2015-11-26,206.87,208.77,204.09,206.54,54997.0
2015-11-27,207.8,207.8,201.35,202.51,62461.0
2015-11-30,204.41,204.6,198.56,199.03,223137.0
2015-12-01,203.2,203.2,198.75,200.88,72872.0
2015-12-02,199.54,203.67,199.54,201.26,59732.0
2015-12-03,201.81,201.81,197.17,197.87,53048.0
2015-12-04,199.31,201.35,194.85,196.06,66819.0
2015-12-07,197.91,197.91,190.82,194.34,128670.0
2015-12-08,196.15,198.33,191.65,193.83,95420.0
2015-12-09,196.62,196.62,191.19,194.44,546170.0
2015-12-10,195.78,200.23,186.5,195.04,122916.0
2015-12-11,195.36,197.45,193.46,194.11,44300.0
2015-12-14,193.37,196.62,193.0,194.06,54596.0
2015-12-15,195.59,197.64,193.0,197.17,57276.0
2015-12-16,198.56,202.28,196.06,198.89,73925.0
2015-12-17,200.51,203.2,195.97,197.91,124535.0
2015-12-18,199.12,202.09,197.17,199.17,60368.0
2015-12-21,200.7,202.28,197.73,200.0,63385.0
2015-12-22,201.35,201.35,194.85,195.73,50000.0
2015-12-23,196.48,198.56,194.85,195.6,99071.0
2015-12-24,196.52,198.56,194.39,194.81,116272.0
2015-12-28,196.43,199.4,194.25,198.7,126969.0
2015-12-29,200.14,206.82,198.1,201.39,407646.0
2015-12-30,203.2,206.92,200.42,201.49,161096.0
2015-12-31,202.09,203.99,200.1,202.51,148629.0
2016-01-01,202.83,204.13,199.86,202.6,56968.0
2016-01-04,202.23,205.89,197.64,198.98,88389.0
2016-01-05,200.42,200.42,196.01,196.52,105071.0
2016-01-06,197.45,200.28,196.24,199.49,236696.0
2016-01-07,198.56,200.79,194.44,195.08,206326.0
2016-01-08,196.71,202.65,194.67,198.15,168191.0
2016-01-11,196.71,197.17,193.41,195.41,90868.0
2016-01-12,197.08,197.59,191.42,192.21,194827.0
2016-01-13,194.62,196.52,181.44,188.45,269504.0
2016-01-14,185.25,186.36,178.2,183.16,200995.0
2016-01-15,183.12,190.12,173.14,177.41,222329.0
2016-01-18,169.85,181.82,169.29,171.89,299808.0
2016-01-19,172.21,176.3,167.76,169.66,237906.0
2016-01-20,169.52,169.52,161.45,163.44,177275.0
2016-01-21,171.19,171.19,157.92,160.48,262055.0
2016-01-22,164.23,170.54,158.71,167.29,128001.0
2016-01-25,168.87,172.58,166.46,169.38,94833.0
2016-01-27,169.24,171.47,162.47,164.33,148495.0
2016-01-28,163.68,163.68,157.83,158.11,149013.0
2016-01-29,157.74,166.6,152.36,156.49,377670.0
2016-02-01,158.16,164.23,148.64,161.59,135240.0
2016-02-02,162.38,175.27,159.96,168.41,280471.0
2016-02-03,164.23,174.49,164.23,166.69,334499.0
2016-02-04,162.47,164.23,150.78,152.82,671079.0
2016-02-05,153.1,155.88,147.81,152.68,246678.0
2016-02-08,153.1,156.49,151.24,155.42,141190.0
2016-02-09,157.74,157.74,153.19,156.53,67274.0
2016-02-10,157.6,157.6,152.82,155.37,82885.0
2016-02-11,153.33,155.88,146.6,148.69,526450.0
2016-02-12,150.22,152.91,143.12,148.41,391272.0
2016-02-15,152.77,158.11,149.02,156.86,117187.0
2016-02-16,156.86,160.06,150.5,155.23,73987.0
2016-02-17,154.95,158.57,150.83,157.37,65508.0
2016-02-18,157.27,160.85,155.42,156.58,60397.0
2016-02-19,159.41,159.41,153.61,154.82,82950.0
2016-02-22,157.6,157.74,150.31,153.75,75571.0
2016-02-23,156.25,156.25,151.24,152.68,695942.0
2016-02-24,153.79,153.79,146.56,147.72,118410.0
2016-02-25,145.72,152.36,145.72,148.92,79663.0
2016-02-26,151.99,151.99,146.6,147.25,573482.0
2016-02-29,148.32,157.74,147.53,157.32,91854.0
2016-03-01,158.48,161.91,156.62,159.59,58907.0
2016-03-02,162.75,169.34,161.45,168.5,669042.0
2016-03-03,170.17,176.67,166.09,172.35,813389.0
2016-03-04,173.51,174.25,168.87,170.12,100787.0
2016-03-08,172.86,172.86,168.5,169.75,97797.0
2016-03-09,169.8,172.58,166.09,171.1,49710.0
2016-03-10,170.73,174.35,169.8,172.21,269786.0
2016-03-11,175.32,175.32,171.8,172.44,82509.0
2016-03-14,173.51,176.06,172.12,173.37,164982.0
2016-03-15,173.51,173.51,167.94,168.36,261235.0
2016-03-16,170.68,185.39,167.48,180.89,173119.0
2016-03-17,182.34,186.64,178.97,181.31,90165.0
2016-03-18,180.75,184.68,180.47,181.36,34422.0
2016-03-21,181.36,188.79,180.65,187.76,93036.0
2016-03-22,190.19,190.75,185.14,187.85,141567.0
2016-03-23,187.95,190.1,184.39,186.08,30478.0
2016-03-28,185.33,188.51,180.23,181.73,42117.0
2016-03-29,180.47,181.87,176.73,178.04,72326.0
2016-03-30,179.44,183.65,175.79,178.22,47607.0
2016-03-31,178.18,182.24,175.84,180.65,63254.0
2016-04-01,181.36,188.65,179.25,187.76,90081.0
2016-04-04,187.99,188.7,185.14,185.66,136741.0
2016-04-05,185.94,187.95,179.49,181.08,82684.0
2016-04-06,183.18,186.83,181.5,185.28,58962.0
2016-04-07,184.39,185.94,183.23,184.21,184401.0
2016-04-08,186.08,186.08,182.66,183.55,102319.0
2016-04-11,185.98,185.98,182.34,182.57,45515.0
